GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
career-ms,com.talenteo.career.api,BiannualAssessmentResource,47,97,1,3,10,20,4,7,3,6
career-ms,com.talenteo.career.api,CareerResource,82,80,2,0,17,13,5,7,4,7
career-ms,com.talenteo.career.utils,CareerMessages,0,12,0,0,0,4,0,2,0,2
career-ms,com.talenteo.career.converter,CareerMobilityConverter,41,0,6,0,4,0,9,0,6,0
career-ms,com.talenteo.career.converter,CareerConverter,30,53,6,2,0,19,7,3,4,2
career-ms,com.talenteo.career.converter,BiannualAssessmentSkillConverter,55,0,8,0,10,0,10,0,6,0
career-ms,com.talenteo.career.converter,AssessmentCampaignConverter,32,27,7,1,1,10,8,2,4,2
career-ms,com.talenteo.career.converter,BiAnnualAssessmentDtoConverter,74,127,15,1,2,39,14,3,6,3
career-ms,com.talenteo.career.converter,CompaignConverterDto,32,31,7,1,1,10,8,2,4,2
career-ms,com.talenteo.career.converter,AssessmentCampaignDtoConverter,32,25,7,1,1,8,8,2,4,2
career-ms,com.talenteo.career.converter,BiannualAssessmentConverter,32,127,7,1,1,41,8,2,4,2
career-ms,com.talenteo.career.converter,CareerRequestConverter,69,0,8,0,14,0,10,0,6,0
career-ms,com.talenteo.career.service,ValidationService,3,97,2,6,2,25,2,11,0,9
career-ms,com.talenteo.career.service,CareerService,276,210,2,2,53,40,18,11,16,11
